Timestamp,Current URL,Player,Guess
2021/01/14 11:20:26 PM GMT+1,URL11,Player1,Player2
2021/01/14 11:21:25 PM GMT+1,URL11,Player2,Player10
2021/01/14 11:21:45 PM GMT+1,URL11,Player7,Player1
2021/01/14 11:22:01 PM GMT+1,URL11,Player8,Player11
2021/01/14 11:22:21 PM GMT+1,URL11,Player6,Player1
2021/01/14 11:22:35 PM GMT+1,URL11,Player4,Player5
2021/01/14 11:22:51 PM GMT+1,URL11,Player3,Player8
2021/01/14 11:23:10 PM GMT+1,URL11,Player5,Player9
2021/01/14 11:23:26 PM GMT+1,URL11,Player10,Player9
2021/01/14 11:26:23 PM GMT+1,URL11,Player9,Player7
2021/01/14 11:26:38 PM GMT+1,URL11,Player11,Player3
2021/01/15 9:39:12 AM GMT+1,URL10,Player11,Player1
2021/01/15 9:40:57 AM GMT+1,URL10,Player1,Player4
2021/01/15 9:46:27 AM GMT+1,URL10,Player6,Player3
2021/01/15 9:58:10 AM GMT+1,URL10,Player2,Player4
2021/01/15 10:02:17 AM GMT+1,URL10,Player3,Player6
2021/01/15 10:09:25 AM GMT+1,URL10,Player9,Player6
2021/01/15 10:46:34 AM GMT+1,URL10,Player8,Player4
2021/01/15 12:47:43 PM GMT+1,URL10,Player4,Player2
2021/01/15 8:54:29 PM GMT+1,URL10,Player10,Player6
2021/01/15 8:54:52 PM GMT+1,URL10,Player5,Player4
2021/01/15 8:55:25 PM GMT+1,URL10,Player7,Player3
2021/01/15 9:18:11 PM GMT+1,URL6,Player11,Player3
2021/01/15 9:18:11 PM GMT+1,URL6,Player9,Player6
